NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,QT_VOLUME_24HOUR,combined_peak
100,2017,1972.1,7115.077777777778,26965.444444444445,9087.177777777777
101,2017,1730.0555555555557,5159.455555555555,21527.844444444443,6889.511111111111
102,2017,2497.4222222222224,7456.533333333334,31586.455555555556,9953.955555555556
103,2017,1308.0333333333333,3542.5555555555557,16318.777777777777,4850.588888888889
104,2017,2122.6111111111113,6520.077777777778,28122.855555555554,8642.68888888889
105,2017,4234.344444444445,11578.044444444444,50791.933333333334,15812.388888888889
106,2017,1688.1333333333334,4583.455555555555,18683.98888888889,6271.5888888888885
107,2017,4392.522222222222,12451.833333333334,52690.21111111111,16844.355555555558
108,2017,1624.3333333333333,4622.766666666666,19419.81111111111,6247.099999999999
109,2017,2477.5222222222224,6653.7555555555555,26699.1,9131.277777777777
111,2017,2976.5666666666666,8106.033333333334,35016.7,11082.6
112,2017,2345.266666666667,6818.366666666667,30569.2,9163.633333333333
113,2017,2689.1444444444446,7299.344444444445,31513.78888888889,9988.488888888889
114,2017,2931.9444444444443,8182.677777777778,35291.14444444444,11114.622222222222
115,2017,3111.277777777778,8977.133333333333,37947.36666666667,12088.41111111111
116,2017,2027.4333333333334,4851.5888888888885,23428.61111111111,6879.022222222222
117,2017,6575.8,18405.87777777778,85333.47777777778,24981.67777777778
118,2017,1679.3666666666666,4653.277777777777,18674.71111111111,6332.644444444444
119,2017,2452.811111111111,6799.611111111111,32704.4,9252.422222222223
120,2017,5526.888888888889,14069.011111111111,62125.455555555556,19595.9
121,2017,6357.844444444445,17457.5,77367.11111111111,23815.344444444447
122,2017,2197.4333333333334,7156.0888888888885,27731.366666666665,9353.522222222222
124,2017,4115.944444444444,10793.144444444444,48019.455555555556,14909.088888888888
125,2017,4109.5,11683.41111111111,50896.34444444445,15792.91111111111
126,2017,6324.322222222222,17921.61111111111,78480.6888888889,24245.93333333333
127,2017,3271.188888888889,10424.055555555555,44336.72222222222,13695.244444444445
129,2017,3255.8333333333335,9695.144444444444,44478.53333333333,12950.977777777778
130,2017,2084.7,5988.7555555555555,27650.955555555556,8073.455555555555
131,2017,3263.4222222222224,8786.288888888888,40456.13333333333,12049.711111111112
133,2017,5498.222222222223,15335.822222222223,65320.177777777775,20834.044444444444
134,2017,4782.477777777778,13689.81111111111,57978.28888888889,18472.28888888889
136,2017,4639.011111111111,13604.533333333333,57133.25555555556,18243.544444444444
137,2017,5274.711111111111,15125.666666666666,62776.15555555555,20400.377777777776
138,2017,5195.0,15194.733333333334,64577.21111111111,20389.733333333334
139,2017,3471.677777777778,9480.111111111111,45121.14444444444,12951.788888888888
140,2017,2890.177777777778,9083.511111111111,38209.833333333336,11973.68888888889
141,2017,3704.222222222222,11079.6,46822.444444444445,14783.822222222223
142,2017,3063.5,8482.211111111112,37308.52222222222,11545.711111111112
143,2017,1839.0777777777778,5372.2,23803.944444444445,7211.277777777777
144,2017,1683.7333333333333,4970.066666666667,21897.61111111111,6653.8
145,2017,3421.222222222222,9543.033333333333,43088.03333333333,12964.255555555555
146,2017,2922.322222222222,7753.177777777778,35838.26666666667,10675.5
147,2017,1171.2,4036.488888888889,15275.622222222222,5207.688888888889
148,2017,2141.133333333333,6362.122222222222,26244.21111111111,8503.255555555555
149,2017,4244.711111111111,10379.633333333333,45256.42222222222,14624.344444444443
152,2017,1715.611111111111,4515.188888888889,22486.977777777778,6230.8
153,2017,3909.0666666666666,10883.055555555555,49219.72222222222,14792.12222222222
155,2017,1226.4666666666667,3893.3444444444444,15453.31111111111,5119.811111111111
157,2017,3616.2444444444445,10940.18888888889,46385.03333333333,14556.433333333334
