NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
3380,2019,825438.0,3235902.0,4061340.0
849,2019,1034940.0,2495638.0,3530578.0
4415,2019,976359.0,2442899.0,3419258.0
3357,2019,877267.0,2267249.0,3144516.0
3376,2019,786716.0,2315164.0,3101880.0
855,2019,885765.0,2211014.0,3096779.0
2816,2019,794046.0,2289235.0,3083281.0
3519,2019,883399.0,2159978.0,3043377.0
2326,2019,780643.0,2187188.0,2967831.0
2487,2019,813927.0,2141222.0,2955149.0
1359,2019,812529.0,2141262.0,2953791.0
3386,2019,773312.0,2157859.0,2931171.0
3516,2019,862419.0,2062824.0,2925243.0
2404,2019,799886.0,2068465.0,2868351.0
416,2019,821025.0,1970008.0,2791033.0
2101,2019,767442.0,2020921.0,2788363.0
2628,2019,725288.0,2044533.0,2769821.0
2316,2019,753777.0,2011755.0,2765532.0
414,2019,759290.0,2004771.0,2764061.0
725,2019,783465.0,1956301.0,2739766.0
538,2019,768216.0,1935207.0,2703423.0
3381,2019,640873.0,2049799.0,2690672.0
415,2019,781169.0,1906878.0,2688047.0
2329,2019,688157.0,1924420.0,2612577.0
2337,2019,716445.0,1876876.0,2593321.0
3022,2019,651693.0,1939579.0,2591272.0
2405,2019,698251.0,1883622.0,2581873.0
948,2019,674540.0,1881227.0,2555767.0
2756,2019,374236.0,2180252.0,2554488.0
3174,2019,672081.0,1880177.0,2552258.0
2416,2019,621872.0,1877758.0,2499630.0
2425,2019,668658.0,1827865.0,2496523.0
2929,2019,729638.0,1759252.0,2488890.0
2403,2019,683621.0,1798642.0,2482263.0
429,2019,700466.0,1779522.0,2479988.0
2438,2019,678463.0,1798339.0,2476802.0
2868,2019,636050.0,1837882.0,2473932.0
3060,2019,688462.0,1782571.0,2471033.0
5003,2019,693178.0,1767260.0,2460438.0
3360,2019,732527.0,1727219.0,2459746.0
3052,2019,676249.0,1779217.0,2455466.0
408,2019,605261.0,1839789.0,2445050.0
3392,2019,706648.0,1728594.0,2435242.0
3016,2019,706638.0,1714921.0,2421559.0
1144,2019,679759.0,1737980.0,2417739.0
3735,2019,666758.0,1730452.0,2397210.0
3393,2019,677483.0,1717184.0,2394667.0
2437,2019,639971.0,1741412.0,2381383.0
814,2019,670319.0,1704363.0,2374682.0
2173,2019,683800.0,1679200.0,2363000.0
3706,2019,584775.0,1778077.0,2362852.0
2420,2019,627031.0,1735401.0,2362432.0
117,2019,625992.0,1727437.0,2353429.0
2336,2019,659213.0,1691221.0,2350434.0
2833,2019,690824.0,1657231.0,2348055.0
2701,2019,686762.0,1643524.0,2330286.0
2020,2019,650832.0,1679103.0,2329935.0
3385,2019,660811.0,1665737.0,2326548.0
999,2019,682099.0,1644378.0,2326477.0
3383,2019,617821.0,1690403.0,2308224.0
2827,2019,655985.0,1642376.0,2298361.0
3382,2019,582051.0,1713600.0,2295651.0
2421,2019,612066.0,1677459.0,2289525.0
3059,2019,603703.0,1683893.0,2287596.0
2315,2019,627583.0,1658380.0,2285963.0
4169,2019,609979.0,1660998.0,2270977.0
2172,2019,616849.0,1649171.0,2266020.0
765,2019,586890.0,1674098.0,2260988.0
2412,2019,621601.0,1634622.0,2256223.0
417,2019,637167.0,1614012.0,2251179.0
2424,2019,605766.0,1640554.0,2246320.0
2321,2019,657115.0,1581725.0,2238840.0
984,2019,626573.0,1604354.0,2230927.0
2899,2019,651647.0,1572913.0,2224560.0
456,2019,618137.0,1604402.0,2222539.0
604,2019,576870.0,1632113.0,2208983.0
3384,2019,591928.0,1613442.0,2205370.0
2100,2019,604948.0,1600309.0,2205257.0
3151,2019,626117.0,1573265.0,2199382.0
2320,2019,602971.0,1592741.0,2195712.0
3556,2019,623847.0,1567956.0,2191803.0
869,2019,578725.0,1609207.0,2187932.0
4187,2019,594031.0,1591865.0,2185896.0
2103,2019,515310.0,1655405.0,2170715.0
2422,2019,584098.0,1566434.0,2150532.0
2430,2019,581785.0,1563801.0,2145586.0
2409,2019,611747.0,1531108.0,2142855.0
867,2019,554046.0,1588665.0,2142711.0
2918,2019,551531.0,1589214.0,2140745.0
126,2019,595584.0,1542495.0,2138079.0
164,2019,576439.0,1559897.0,2136336.0
2613,2019,611074.0,1523719.0,2134793.0
2419,2019,582767.0,1542854.0,2125621.0
3681,2019,569303.0,1553498.0,2122801.0
3191,2019,520837.0,1601701.0,2122538.0
2157,2019,637405.0,1483063.0,2120468.0
121,2019,592300.0,1518289.0,2110589.0
2104,2019,511084.0,1597255.0,2108339.0
4975,2019,635252.0,1469568.0,2104820.0
3541,2019,606768.0,1494384.0,2101152.0
