NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
4415,2015,898993.0,2388498.0,3287491.0
3380,2015,659651.0,2454280.0,3113931.0
2816,2015,758898.0,2209945.0,2968843.0
855,2015,824666.0,2129712.0,2954378.0
1359,2015,767086.0,2148625.0,2915711.0
3357,2015,799450.0,2091825.0,2891275.0
3519,2015,812335.0,2072820.0,2885155.0
2404,2015,770080.0,2086660.0,2856740.0
3386,2015,754435.0,2062554.0,2816989.0
2487,2015,754006.0,2060596.0,2814602.0
416,2015,760604.0,2007783.0,2768387.0
3516,2015,760054.0,2004398.0,2764452.0
415,2015,753472.0,1959679.0,2713151.0
849,2015,752301.0,1923592.0,2675893.0
2326,2015,671708.0,1979532.0,2651240.0
414,2015,681614.0,1908097.0,2589711.0
538,2015,697930.0,1866992.0,2564922.0
725,2015,671703.0,1888823.0,2560526.0
2329,2015,644229.0,1913272.0,2557501.0
2101,2015,689555.0,1865591.0,2555146.0
2316,2015,658730.0,1858967.0,2517697.0
2405,2015,665833.0,1839193.0,2505026.0
3060,2015,683478.0,1804270.0,2487748.0
2827,2015,670562.0,1789462.0,2460024.0
2315,2015,634995.0,1816538.0,2451533.0
948,2015,616546.0,1834732.0,2451278.0
2403,2015,656415.0,1763615.0,2420030.0
3382,2015,630233.0,1776820.0,2407053.0
3022,2015,594747.0,1809583.0,2404330.0
2337,2015,639172.0,1749154.0,2388326.0
2899,2015,633418.0,1744360.0,2377778.0
3381,2015,581235.0,1793631.0,2374866.0
2756,2015,335291.0,2032045.0,2367336.0
2020,2015,614618.0,1750331.0,2364949.0
2929,2015,692508.0,1668046.0,2360554.0
2416,2015,571493.0,1786938.0,2358431.0
3360,2015,645571.0,1711226.0,2356797.0
2438,2015,646372.0,1708597.0,2354969.0
3735,2015,619566.0,1714897.0,2334463.0
2833,2015,657429.0,1663684.0,2321113.0
3052,2015,626809.0,1668878.0,2295687.0
2701,2015,636810.0,1638580.0,2275390.0
3385,2015,624672.0,1634595.0,2259267.0
3059,2015,597406.0,1658452.0,2255858.0
814,2015,604996.0,1639364.0,2244360.0
2103,2015,567851.0,1675942.0,2243793.0
999,2015,638269.0,1591251.0,2229520.0
2100,2015,586457.0,1618852.0,2205309.0
117,2015,572711.0,1625655.0,2198366.0
4169,2015,577589.0,1616067.0,2193656.0
1144,2015,601221.0,1590199.0,2191420.0
2336,2015,596604.0,1593394.0,2189998.0
429,2015,602152.0,1582377.0,2184529.0
3383,2015,583868.0,1591959.0,2175827.0
417,2015,581853.0,1575069.0,2156922.0
3016,2015,608121.0,1547700.0,2155821.0
2173,2015,601115.0,1532459.0,2133574.0
3681,2015,544425.0,1585371.0,2129796.0
4187,2015,558349.0,1568109.0,2126458.0
984,2015,568008.0,1556097.0,2124105.0
1156,2015,552892.0,1567211.0,2120103.0
2421,2015,556486.0,1552437.0,2108923.0
2430,2015,565484.0,1537291.0,2102775.0
2320,2015,556624.0,1543864.0,2100488.0
431,2015,565668.0,1515619.0,2081287.0
2104,2015,493322.0,1586703.0,2080025.0
2407,2015,525299.0,1551527.0,2076826.0
3384,2015,558789.0,1516328.0,2075117.0
2172,2015,529054.0,1542944.0,2071998.0
2325,2015,544926.0,1524850.0,2069776.0
195,2015,543557.0,1522581.0,2066138.0
2327,2015,537140.0,1528877.0,2066017.0
126,2015,544242.0,1518671.0,2062913.0
3151,2015,547251.0,1513881.0,2061132.0
432,2015,587030.0,1468237.0,2055267.0
2422,2015,550017.0,1504102.0,2054119.0
3706,2015,519548.0,1530888.0,2050436.0
4155,2015,548520.0,1497719.0,2046239.0
4381,2015,529951.0,1514027.0,2043978.0
121,2015,546363.0,1495684.0,2042047.0
2306,2015,536600.0,1499933.0,2036533.0
3393,2015,557418.0,1469959.0,2027377.0
869,2015,528287.0,1494270.0,2022557.0
456,2015,547379.0,1474480.0,2021859.0
3671,2015,535681.0,1485687.0,2021368.0
3556,2015,537149.0,1483220.0,2020369.0
2328,2015,525102.0,1491849.0,2016951.0
164,2015,531974.0,1483114.0,2015088.0
2880,2015,525874.0,1486224.0,2012098.0
3308,2015,532969.0,1472291.0,2005260.0
2498,2015,538305.0,1463430.0,2001735.0
3361,2015,547337.0,1454356.0,2001693.0
4742,2015,514393.0,1486132.0,2000525.0
2412,2015,529261.0,1463765.0,1993026.0
604,2015,504457.0,1486518.0,1990975.0
2324,2015,527452.0,1461848.0,1989300.0
3172,2015,525163.0,1460350.0,1985513.0
4461,2015,531394.0,1453010.0,1984404.0
867,2015,490834.0,1489348.0,1980182.0
4901,2015,498110.0,1473518.0,1971628.0
