NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
3380,2020,765998.0,2553218.0,3319216.0
849,2020,848243.0,2157632.0,3005875.0
4415,2020,760462.0,2044360.0,2804822.0
4035,2020,699039.0,1872034.0,2571073.0
3376,2020,654799.0,1904285.0,2559084.0
855,2020,719408.0,1818979.0,2538387.0
3393,2020,673554.0,1812370.0,2485924.0
3705,2020,700451.0,1772591.0,2473042.0
117,2020,534896.0,1932797.0,2467693.0
1359,2020,666412.0,1756808.0,2423220.0
2816,2020,619993.0,1792031.0,2412024.0
3357,2020,656170.0,1749612.0,2405782.0
3519,2020,639365.0,1754457.0,2393822.0
2487,2020,631372.0,1716613.0,2347985.0
2404,2020,638477.0,1698568.0,2337045.0
3386,2020,615288.0,1716680.0,2331968.0
414,2020,610393.0,1669954.0,2280347.0
416,2020,622131.0,1644518.0,2266649.0
3381,2020,549542.0,1693264.0,2242806.0
3516,2020,613309.0,1600512.0,2213821.0
2326,2020,566246.0,1644534.0,2210780.0
415,2020,601883.0,1587959.0,2189842.0
2405,2020,585081.0,1590065.0,2175146.0
3052,2020,557694.0,1596670.0,2154364.0
3060,2020,555715.0,1557239.0,2112954.0
3360,2020,569049.0,1480943.0,2049992.0
538,2020,570446.0,1472115.0,2042561.0
5003,2020,548584.0,1493661.0,2042245.0
2329,2020,495962.0,1516779.0,2012741.0
2628,2020,537333.0,1470114.0,2007447.0
2403,2020,537395.0,1458129.0,1995524.0
3392,2020,527180.0,1452096.0,1979276.0
2316,2020,532146.0,1429041.0,1961187.0
3382,2020,485537.0,1472620.0,1958157.0
725,2020,522361.0,1406221.0,1928582.0
2756,2020,301164.0,1622144.0,1923308.0
2337,2020,516635.0,1391232.0,1907867.0
3735,2020,479292.0,1422058.0,1901350.0
3174,2020,469789.0,1420835.0,1890624.0
2173,2020,521997.0,1367988.0,1889985.0
5296,2020,498539.0,1375071.0,1873610.0
2101,2020,466232.0,1403939.0,1870171.0
1156,2020,478739.0,1389116.0,1867855.0
948,2020,452925.0,1410999.0,1863924.0
3198,2020,453959.0,1402733.0,1856692.0
408,2020,443037.0,1412519.0,1855556.0
3383,2020,485025.0,1360128.0,1845153.0
814,2020,517564.0,1326889.0,1844453.0
2425,2020,470800.0,1370403.0,1841203.0
4187,2020,507275.0,1330907.0,1838182.0
1144,2020,498265.0,1332452.0,1830717.0
3059,2020,469375.0,1359750.0,1829125.0
3385,2020,480307.0,1344353.0,1824660.0
3556,2020,495175.0,1328914.0,1824089.0
2843,2020,495787.0,1323220.0,1819007.0
2701,2020,509249.0,1308282.0,1817531.0
2929,2020,523058.0,1287455.0,1810513.0
3384,2020,469594.0,1330749.0,1800343.0
999,2020,516635.0,1282074.0,1798709.0
2438,2020,478705.0,1318581.0,1797286.0
2946,2020,480297.0,1315503.0,1795800.0
3151,2020,474967.0,1312520.0,1787487.0
2416,2020,428091.0,1347891.0,1775982.0
2827,2020,505536.0,1265989.0,1771525.0
2420,2020,445464.0,1318663.0,1764127.0
2315,2020,463059.0,1294607.0,1757666.0
3681,2020,443891.0,1310917.0,1754808.0
2172,2020,453106.0,1293308.0,1746414.0
3022,2020,426943.0,1308725.0,1735668.0
2309,2020,467817.0,1262504.0,1730321.0
4169,2020,443953.0,1284926.0,1728879.0
2020,2020,472783.0,1256055.0,1728838.0
2985,2020,470945.0,1254657.0,1725602.0
1776,2020,470177.0,1252013.0,1722190.0
2833,2020,529218.0,1189976.0,1719194.0
3706,2020,422159.0,1296488.0,1718647.0
429,2020,459152.0,1252432.0,1711584.0
2336,2020,461234.0,1241816.0,1703050.0
2406,2020,445590.0,1255747.0,1701337.0
3088,2020,409966.0,1291096.0,1701062.0
3191,2020,379599.0,1316274.0,1695873.0
2157,2020,475640.0,1206585.0,1682225.0
2407,2020,434262.0,1243441.0,1677703.0
2614,2020,415584.0,1258759.0,1674343.0
2161,2020,452975.0,1219786.0,1672761.0
4711,2020,444413.0,1226714.0,1671127.0
2412,2020,440263.0,1228942.0,1669205.0
2421,2020,422287.0,1243750.0,1666037.0
3390,2020,445603.0,1218166.0,1663769.0
984,2020,451203.0,1210736.0,1661939.0
138,2020,427897.0,1230829.0,1658726.0
2613,2020,438256.0,1215960.0,1654216.0
3016,2020,433184.0,1218582.0,1651766.0
417,2020,441050.0,1209649.0,1650699.0
2868,2020,406032.0,1233360.0,1639392.0
2100,2020,428028.0,1208941.0,1636969.0
256,2020,398027.0,1236963.0,1634990.0
5313,2020,365377.0,1265984.0,1631361.0
2103,2020,396547.0,1232534.0,1629081.0
604,2020,392289.0,1234855.0,1627144.0
