NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
4415,2016,928508.0,2443412.0,3371920.0
3380,2016,662598.0,2541616.0,3204214.0
855,2016,896303.0,2263004.0,3159307.0
3357,2016,858592.0,2229669.0,3088261.0
2438,2016,923181.0,2115913.0,3039094.0
3519,2016,860472.0,2153389.0,3013861.0
1359,2016,796409.0,2202933.0,2999342.0
849,2016,861664.0,2120088.0,2981752.0
416,2016,845877.0,2121117.0,2966994.0
3386,2016,794189.0,2159422.0,2953611.0
3516,2016,820373.0,2127714.0,2948087.0
2404,2016,795661.0,2145431.0,2941092.0
2487,2016,817931.0,2118504.0,2936435.0
415,2016,818974.0,2044747.0,2863721.0
2816,2016,692278.0,2140284.0,2832562.0
2316,2016,736288.0,1975445.0,2711733.0
2329,2016,685739.0,1991972.0,2677711.0
538,2016,740970.0,1926938.0,2667908.0
414,2016,730325.0,1936238.0,2666563.0
725,2016,725311.0,1934009.0,2659320.0
2101,2016,730543.0,1925314.0,2655857.0
948,2016,682610.0,1963684.0,2646294.0
2434,2016,671117.0,1955837.0,2626954.0
3360,2016,743603.0,1876125.0,2619728.0
2326,2016,663255.0,1935422.0,2598677.0
2405,2016,686514.0,1901268.0,2587782.0
2315,2016,692721.0,1886918.0,2579639.0
3022,2016,611536.0,1967371.0,2578907.0
2337,2016,696143.0,1855437.0,2551580.0
3060,2016,702993.0,1829462.0,2532455.0
2929,2016,726253.0,1775621.0,2501874.0
2416,2016,621075.0,1880458.0,2501533.0
2756,2016,361989.0,2130255.0,2492244.0
3382,2016,644591.0,1842079.0,2486670.0
2403,2016,669326.0,1801240.0,2470566.0
3381,2016,600372.0,1857790.0,2458162.0
999,2016,705451.0,1740061.0,2445512.0
3735,2016,658524.0,1778259.0,2436783.0
2701,2016,685212.0,1725623.0,2410835.0
2899,2016,674445.0,1727484.0,2401929.0
2425,2016,647275.0,1728852.0,2376127.0
429,2016,656340.0,1695568.0,2351908.0
814,2016,649209.0,1698071.0,2347280.0
3016,2016,670428.0,1658749.0,2329177.0
3059,2016,631022.0,1692814.0,2323836.0
1144,2016,638485.0,1676592.0,2315077.0
2336,2016,645609.0,1666289.0,2311898.0
2103,2016,581827.0,1721867.0,2303694.0
2827,2016,652628.0,1636311.0,2288939.0
3385,2016,638007.0,1650769.0,2288776.0
2833,2016,653120.0,1627029.0,2280149.0
4169,2016,600047.0,1677371.0,2277418.0
2173,2016,661827.0,1614485.0,2276312.0
2020,2016,616728.0,1649880.0,2266608.0
2430,2016,617858.0,1637351.0,2255209.0
117,2016,611300.0,1638859.0,2250159.0
1156,2016,613620.0,1634750.0,2248370.0
2100,2016,610824.0,1637258.0,2248082.0
2918,2016,585178.0,1644983.0,2230161.0
984,2016,596738.0,1624108.0,2220846.0
3151,2016,601839.0,1614237.0,2216076.0
3052,2016,630601.0,1579469.0,2210070.0
417,2016,608231.0,1601496.0,2209727.0
2172,2016,573938.0,1633416.0,2207354.0
4187,2016,588512.0,1618251.0,2206763.0
195,2016,569628.0,1628446.0,2198074.0
3383,2016,592748.0,1596189.0,2188937.0
432,2016,641558.0,1545692.0,2187250.0
121,2016,603896.0,1583225.0,2187121.0
3681,2016,565731.0,1620033.0,2185764.0
2421,2016,593660.0,1590400.0,2184060.0
604,2016,564889.0,1618815.0,2183704.0
2407,2016,557871.0,1620912.0,2178783.0
2412,2016,600659.0,1577553.0,2178212.0
869,2016,577462.0,1592958.0,2170420.0
164,2016,573056.0,1562123.0,2135179.0
3172,2016,584039.0,1546395.0,2130434.0
456,2016,583461.0,1545170.0,2128631.0
126,2016,580385.0,1547977.0,2128362.0
2327,2016,557514.0,1569234.0,2126748.0
3174,2016,561798.0,1564096.0,2125894.0
4742,2016,564418.0,1559234.0,2123652.0
3393,2016,592717.0,1529347.0,2122064.0
2422,2016,580211.0,1538002.0,2118213.0
2104,2016,505947.0,1608348.0,2114295.0
867,2016,543962.0,1569241.0,2113203.0
4461,2016,574623.0,1536712.0,2111335.0
4155,2016,564063.0,1545833.0,2109896.0
2320,2016,565513.0,1542944.0,2108457.0
2325,2016,554194.0,1543933.0,2098127.0
2328,2016,546424.0,1542799.0,2089223.0
765,2016,547632.0,1540003.0,2087635.0
4381,2016,560769.0,1525918.0,2086687.0
3308,2016,567729.0,1517034.0,2084763.0
4562,2016,605913.0,1476115.0,2082028.0
2628,2016,564709.0,1514587.0,2079296.0
3361,2016,588487.0,1490118.0,2078605.0
2321,2016,596814.0,1481433.0,2078247.0
2157,2016,621791.0,1451197.0,2072988.0
280,2016,527313.0,1545483.0,2072796.0
