NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
4415,2017,916824.0,2448993.0,3365817.0
3380,2017,643341.0,2454336.0,3097677.0
2438,2017,923479.0,2147574.0,3071053.0
855,2017,849976.0,2175480.0,3025456.0
3357,2017,805318.0,2190097.0,2995415.0
3519,2017,812512.0,2120213.0,2932725.0
849,2017,825507.0,2098791.0,2924298.0
1359,2017,741793.0,2165036.0,2906829.0
2816,2017,715455.0,2171769.0,2887224.0
2487,2017,785954.0,2083585.0,2869539.0
416,2017,801555.0,2059748.0,2861303.0
3386,2017,761682.0,2097482.0,2859164.0
2404,2017,774076.0,2070693.0,2844769.0
3516,2017,761065.0,2008737.0,2769802.0
2326,2017,702834.0,2041403.0,2744237.0
415,2017,757986.0,1934467.0,2692453.0
414,2017,713607.0,1966800.0,2680407.0
3360,2017,738091.0,1912675.0,2650766.0
2101,2017,700615.0,1919482.0,2620097.0
725,2017,709637.0,1907286.0,2616923.0
2316,2017,697546.0,1895179.0,2592725.0
948,2017,649346.0,1927006.0,2576352.0
538,2017,702518.0,1863246.0,2565764.0
2434,2017,635026.0,1914048.0,2549074.0
2329,2017,639945.0,1901882.0,2541827.0
2405,2017,677198.0,1815959.0,2493157.0
2337,2017,661904.0,1750240.0,2412144.0
3022,2017,581416.0,1826297.0,2407713.0
3735,2017,625819.0,1779707.0,2405526.0
3382,2017,612956.0,1783972.0,2396928.0
2425,2017,624566.0,1767285.0,2391851.0
3060,2017,656160.0,1732277.0,2388437.0
3381,2017,584465.0,1793102.0,2377567.0
2756,2017,352441.0,2010919.0,2363360.0
2020,2017,628549.0,1732663.0,2361212.0
2403,2017,646400.0,1709096.0,2355496.0
2416,2017,570433.0,1769607.0,2340040.0
2899,2017,637357.0,1700207.0,2337564.0
2833,2017,657654.0,1676302.0,2333956.0
2315,2017,621738.0,1711139.0,2332877.0
2701,2017,645711.0,1672898.0,2318609.0
429,2017,639827.0,1675907.0,2315734.0
2437,2017,602357.0,1711091.0,2313448.0
3706,2017,552212.0,1757469.0,2309681.0
3052,2017,626594.0,1681194.0,2307788.0
999,2017,649574.0,1643327.0,2292901.0
2827,2017,648335.0,1640777.0,2289112.0
2929,2017,643733.0,1623072.0,2266805.0
1144,2017,624310.0,1641190.0,2265500.0
3385,2017,624694.0,1635805.0,2260499.0
814,2017,609617.0,1640570.0,2250187.0
3174,2017,585671.0,1648360.0,2234031.0
2430,2017,601732.0,1620645.0,2222377.0
3059,2017,584739.0,1637305.0,2222044.0
5003,2017,595827.0,1625985.0,2221812.0
2336,2017,613178.0,1605827.0,2219005.0
2103,2017,542695.0,1673212.0,2215907.0
2100,2017,584912.0,1616928.0,2201840.0
1156,2017,575074.0,1620014.0,2195088.0
3383,2017,569369.0,1610043.0,2179412.0
4169,2017,561988.0,1606021.0,2168009.0
2407,2017,567126.0,1598803.0,2165929.0
604,2017,547986.0,1612459.0,2160445.0
117,2017,568782.0,1586944.0,2155726.0
2173,2017,589476.0,1565393.0,2154869.0
2918,2017,555288.0,1592196.0,2147484.0
984,2017,580201.0,1563466.0,2143667.0
2320,2017,576692.0,1565777.0,2142469.0
417,2017,582373.0,1559081.0,2141454.0
3681,2017,536433.0,1602807.0,2139240.0
2412,2017,573610.0,1553699.0,2127309.0
195,2017,536374.0,1588797.0,2125171.0
765,2017,533940.0,1575221.0,2109161.0
4187,2017,551270.0,1544111.0,2095381.0
456,2017,562464.0,1529255.0,2091719.0
2421,2017,547179.0,1539079.0,2086258.0
2325,2017,558417.0,1517867.0,2076284.0
2172,2017,529269.0,1543618.0,2072887.0
432,2017,596607.0,1472640.0,2069247.0
126,2017,547268.0,1520655.0,2067923.0
869,2017,529675.0,1534285.0,2063960.0
121,2017,554136.0,1507847.0,2061983.0
4461,2017,558295.0,1499832.0,2058127.0
2422,2017,543243.0,1510141.0,2053384.0
4562,2017,582817.0,1462991.0,2045808.0
3172,2017,552723.0,1492868.0,2045591.0
2880,2017,512845.0,1523675.0,2036520.0
2613,2017,556231.0,1479774.0,2036005.0
3384,2017,551174.0,1477798.0,2028972.0
3151,2017,558102.0,1468696.0,2026798.0
2406,2017,549391.0,1476750.0,2026141.0
2104,2017,479053.0,1546832.0,2025885.0
867,2017,498040.0,1522005.0,2020045.0
2327,2017,523041.0,1495925.0,2018966.0
280,2017,517621.0,1498292.0,2015913.0
4155,2017,539447.0,1471944.0,2011391.0
164,2017,531884.0,1473025.0,2004909.0
2424,2017,527188.0,1473234.0,2000422.0
3361,2017,553072.0,1444121.0,1997193.0
3016,2017,562419.0,1433273.0,1995692.0
