QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2018,4415,14356403
2018,2487,11869378
2018,3386,11628788
2018,849,11458328
2018,3519,11087689
2018,2405,10955298
2018,855,10935938
2018,3357,10775318
2018,2404,10565133
2018,2101,10561113
2018,414,10467379
2018,416,10467174
2018,2816,10399285
2018,1359,10397533
2018,2438,10379724
2018,2420,10341355
2018,2929,10272414
2018,415,10267746
2018,2326,9952252
2018,3060,9951831
2018,3516,9949576
2018,2316,9377191
2018,3385,9356553
2018,538,9341270
2018,3360,9314941
2018,2329,9172038
2018,2985,9130705
2018,3052,9124532
2018,3393,9022055
2018,2833,8808230
2018,2425,8719277
2018,3735,8698687
2018,3059,8635063
2018,948,8595944
2018,2337,8576587
2018,2416,8499533
2018,5003,8452704
2018,4742,8439823
2018,725,8427553
2018,2701,8419254
2018,4562,8385168
2018,2173,8375610
2018,3706,8276573
2018,2437,8250758
2018,2412,8245993
2018,1156,8238127
2018,4975,8233329
2018,2407,8233166
2018,429,8227263
2018,185,8194598
2018,3384,8172153
2018,2020,8164855
2018,2100,8148500
2018,3383,8132992
2018,2918,8094273
2018,3681,8089516
2018,2315,8054266
2018,4711,8041557
2018,3174,8017078
2018,2827,8015040
2018,999,7960487
2018,814,7936485
2018,2325,7925628
2018,3390,7906100
2018,4686,7897704
2018,1144,7884520
2018,195,7855062
2018,2336,7853748
2018,4381,7816684
2018,2403,7767511
2018,3389,7760052
2018,2172,7744834
2018,4461,7741460
2018,2157,7720068
2018,4539,7691945
2018,3361,7689462
2018,4169,7682231
2018,3671,7678744
2018,2613,7660420
2018,3312,7657172
2018,2302,7655674
2018,2409,7643896
2018,4187,7640783
2018,117,7628766
2018,2422,7627338
2018,2408,7622422
2018,2312,7612385
2018,2756,7601072
2018,2430,7588878
2018,2320,7558217
2018,432,7525454
2018,2880,7505991
2018,2882,7496035
2018,4155,7485714
2018,2421,7482657
2018,3022,7482525
2018,2406,7451142
2018,4734,7435081
2018,3392,7410638
2018,3541,7404109
