QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2017,2438,14170628
2017,4415,14098752
2017,1359,12332918
2017,2404,12205850
2017,3360,11863405
2017,3380,11567120
2017,2487,11516615
2017,3386,11480777
2017,3519,11121738
2017,416,11093305
2017,2405,10713181
2017,855,10672906
2017,3357,10520975
2017,415,10466287
2017,414,10292312
2017,3516,10160179
2017,2929,10138296
2017,2101,10123984
2017,2173,10099806
2017,849,10019308
2017,4902,9806059
2017,3060,9804198
2017,2816,9742014
2017,2326,9621524
2017,3385,9479690
2017,2403,9403282
2017,3381,9333079
2017,2434,9192558
2017,538,9164648
2017,3383,9121533
2017,3382,9083082
2017,4562,9011854
2017,3052,8997745
2017,2316,8992147
2017,2329,8871585
2017,2985,8848599
2017,2833,8816273
2017,948,8748557
2017,3735,8676822
2017,2100,8667360
2017,725,8556894
2017,3059,8546084
2017,2899,8511235
2017,2315,8488537
2017,2425,8448999
2017,2416,8375008
2017,3706,8368547
2017,2337,8356364
2017,4155,8354361
2017,2701,8318392
2017,5003,8310209
2017,2103,8302548
2017,2827,8263692
2017,1156,8199755
2017,3384,8178150
2017,2437,8174087
2017,2020,8174055
2017,4742,8154078
2017,2407,8099962
2017,2406,8097870
2017,429,8082203
2017,4441,8021668
2017,4461,8020768
2017,3390,8014449
2017,2918,7998507
2017,195,7963843
2017,999,7953695
2017,3393,7947339
2017,3681,7942068
2017,4169,7919907
2017,4975,7897384
2017,2880,7892238
2017,2412,7881687
2017,2420,7878999
2017,1144,7878851
2017,814,7825628
2017,3389,7750223
2017,2325,7748494
2017,4381,7733564
2017,2430,7718953
2017,4711,7717967
2017,117,7680013
2017,3671,7672453
2017,2336,7671220
2017,3172,7627105
2017,3312,7618459
2017,2104,7610091
2017,3174,7594653
2017,4187,7594396
2017,2613,7593979
2017,3361,7563688
2017,2614,7552694
2017,2172,7551333
2017,2157,7537139
2017,2421,7505808
2017,2756,7503383
2017,3022,7503271
2017,2302,7458608
2017,2320,7454003
2017,2408,7414276
