QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2020,3380,12510858
2020,3705,11899154
2020,849,11857077
2020,4415,11286021
2020,3376,10184912
2020,3393,9748128
2020,2404,9665701
2020,4035,9583276
2020,117,9516079
2020,2487,9289039
2020,855,9158418
2020,2405,9008987
2020,3386,8985786
2020,1359,8793008
2020,3519,8748253
2020,3060,8674383
2020,414,8594268
2020,3357,8572680
2020,416,8531658
2020,3381,8358777
2020,2816,8334858
2020,415,8313393
2020,3052,8233297
2020,2329,8065686
2020,3516,8005086
2020,5003,7991087
2020,2326,7920800
2020,5296,7906098
2020,2403,7787920
2020,3345,7773555
2020,3360,7725348
2020,4187,7558262
2020,2628,7534380
2020,3392,7423368
2020,2101,7400314
2020,2173,7379145
2020,538,7370027
2020,2985,7271261
2020,1156,7192279
2020,185,7161710
2020,3382,7142273
2020,3385,7118340
2020,2929,7104232
2020,3059,7084855
2020,2946,6977935
2020,2309,6935033
2020,2316,6910201
2020,3383,6835681
2020,3735,6831226
2020,2438,6814938
2020,3384,6807690
2020,814,6792252
2020,2701,6708997
2020,2843,6703975
2020,3198,6683673
2020,2157,6664234
2020,948,6648794
2020,2337,6644182
2020,725,6638150
2020,2161,6636206
2020,2425,6599062
2020,3390,6542030
2020,408,6512213
2020,2172,6509953
2020,2406,6494232
2020,3681,6487735
2020,2833,6486942
2020,2498,6473371
2020,999,6469091
2020,1144,6466506
2020,4742,6440951
2020,2614,6406018
2020,2827,6378768
2020,3174,6375866
2020,2420,6359630
2020,3706,6351430
2020,4711,6341863
2020,3151,6329762
2020,2416,6315073
2020,3556,6313498
2020,4382,6307345
2020,3191,6305139
2020,2613,6289798
2020,2315,6282524
2020,1776,6269118
2020,4169,6253783
2020,2756,6248042
2020,1038,6202827
2020,2407,6191422
2020,2868,6171343
2020,2412,6138373
2020,2601,6138019
2020,3088,6130056
2020,3671,6128464
2020,2100,6121434
2020,2020,6088988
2020,2409,6084831
2020,4155,6077934
2020,2103,6020030
2020,206,6017730
