QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2016,4415,13789672
2016,2438,13562873
2016,2404,12434126
2016,3386,11689335
2016,3380,11602468
2016,2487,11470786
2016,2420,11318547
2016,3519,11072674
2016,855,10999850
2016,416,10914005
2016,2405,10867071
2016,1359,10776059
2016,415,10734418
2016,3360,10724748
2016,3357,10656438
2016,3516,10347804
2016,2929,10346297
2016,3060,10185739
2016,2101,10164519
2016,414,10129276
2016,849,10058574
2016,2403,9574263
2016,3381,9443631
2016,538,9357628
2016,3385,9338265
2016,2315,9272848
2016,2816,9231147
2016,2316,9216253
2016,2329,9208193
2016,3382,9157735
2016,4562,9085781
2016,2434,9001080
2016,2326,8949968
2016,2985,8932491
2016,3059,8863033
2016,3052,8791988
2016,2899,8754450
2016,2100,8717353
2016,4742,8659171
2016,3735,8624904
2016,948,8603744
2016,2701,8576881
2016,2416,8569016
2016,2833,8548565
2016,2337,8547371
2016,4155,8541063
2016,2103,8524443
2016,2173,8500090
2016,725,8485695
2016,3383,8412625
2016,999,8288394
2016,4381,8275088
2016,2425,8257219
2016,3393,8231110
2016,3384,8219669
2016,4169,8218314
2016,1156,8188224
2016,2827,8129592
2016,3390,8120089
2016,3151,8115877
2016,4461,8095488
2016,2406,8044750
2016,2918,8041204
2016,195,8033102
2016,2407,8014837
2016,429,7968691
2016,814,7949717
2016,2880,7949706
2016,1144,7885649
2016,3361,7857588
2016,117,7848553
2016,2412,7837894
2016,3671,7834776
2016,3172,7826219
2016,2336,7817169
2016,2104,7788779
2016,2157,7784915
2016,3681,7776199
2016,2614,7734424
2016,2172,7734284
2016,3389,7732210
2016,4187,7689349
2016,2020,7658943
2016,3510,7646088
2016,432,7646005
2016,417,7645357
2016,2756,7641797
2016,4711,7634560
2016,2421,7632907
2016,2613,7627881
2016,3022,7618059
2016,2430,7584827
2016,4975,7479033
2016,2302,7448978
2016,2408,7375687
2016,2327,7359274
2016,202,7352237
2016,2628,7328895
2016,2422,7316094
2016,3392,7315763
