"Change in motor vehicle registrations from 2019 - 2020, by state and territory"
"","Percentage change 2019 to 2020 (%)"
"NSW","1.3"
"VIC","1.8"
"QLD","1.7"
"SA","1.1"
"WA","1.5"
"TAS","2.6"
"NT","-0.7"
"ACT","0.7"

"Source: Australian Bureau of Statistics, Motor Vehicle Census, Australia 31 Jan 2020"
