Population,Year,Change,% Change
5841.7,2014,106.7,1.9
5938.1,2015,99.4,1.7
6068,2016,123.1,2.1
6323.6,2017,144.4,2.3
6459.8,2018,138.2,2.2
6594.8,2019,132.8,2.1
6694.9,2020,98,1.5
