HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,AVERAGE,MORNING_MEAN,AFTERNOON_MEAN
16430,4565,DANDENONG-HASTINGS RD BTWN THE CRESECENT AND FRANKSTON-FLINDERS RD,SOUTH WEST BOUND,539.3214285714286,408.07142857142856,670.5714285714286
5129,5879, BOUNDARY ROAD btwn MT DERRIMUT ROAD & FITZGERALD ROAD,EAST BOUND,539.3214285714286,628.0,450.64285714285717
16385,4476,DANDENONG-HASTINGS RD BTWN MORETON BAY BVD AND SOUTH GIPPSLAND HWY,SOUTH BOUND,539.3214285714286,408.07142857142856,670.5714285714286
2298,3092, DRYBURGH STREET btwn MACAULAY ROAD & QUEENSBERRY STREET,SOUTH BOUND,539.1607142857143,596.1428571428571,482.17857142857144
4662,6121, MITCHELL STREET btwn CHURCHILL AVENUE & BALLARAT ROAD,WEST BOUND,539.0535714285714,531.2142857142857,546.8928571428571
1233,1174, MCIVOR ROAD btwn CHAPEL STREET & POWELLS AVENUE,EAST BOUND,539.0357142857143,386.7857142857143,691.2857142857143
9514,4307, WANTIRNA ROAD btwn CANTERBURY ROAD & BORONIA ROAD,NORTH BOUND,538.9464285714286,484.92857142857144,592.9642857142857
2132,3928, CENTRE ROAD btwn KOMBI ROAD & SPRINGVALE BYPASS,EAST BOUND,538.6071428571429,402.35714285714283,674.8571428571429
3020,3865, GLEN EIRA ROAD btwn ORRONG ROAD & KOOYONG ROAD,EAST BOUND,538.6071428571429,442.7857142857143,634.4285714285714
2900,4958, BOUNDARY ROAD btwn SUSSEX STREET & SYDNEY ROAD,EAST BOUND,538.4821428571429,470.92857142857144,606.0357142857143
